username,follower_to_following_ratio,stars_per_repository,fork_to_repo_ratio,open_issues_per_repo,code_to_profile_age_ratio,push_to_total_events_ratio,repos_per_year,days_since_last_api_activity,days_since_last_code_push,average_days_between_events,profile_staleness_days,total_community_validation_count,total_starred_by_user,total_organization_connections,aggregate_codebase_footprint_kb,distinct_event_types_count,has_no_repos,is_b2b_affiliated,has_invested_profile,is_actively_hireable,has_external_gists,churned
bkeepers,29.26027397260274,47.40487804878049,0.7073170731707317,0.751219512195122,0.030597014925373135,0.4221105527638191,11.175559701492537,0.0,67.0,33.66834170854271,2.0,9718.0,200.0,3.0,1670581.0,12.0,0,1,0,1,1,0
wilson,6.421052631578948,0.8765432098765432,0.6790123456790124,0.14814814814814814,0.01208955223880597,0.05263157894736842,4.415708955223881,0.0,24.0,352.63157894736844,13.0,71.0,200.0,1.0,2895301.0,2.0,0,1,1,0,1,0
tommorris,3.5285714285714285,1.3020134228187918,0.6375838926174496,0.1342281879194631,0.022238805970149253,0.0,8.122723880597015,9999.0,61.0,6700.0,74.0,194.0,153.0,4.0,18903159.0,0.0,0,1,0,0,1,0
charlesroper,1.0508474576271187,2.388059701492537,0.5671641791044776,0.208955223880597,0.01000149276011345,0.0,3.6530452306314376,26.0,50.0,3349.5,69.0,160.0,200.0,0.0,983756.0,1.0,0,0,1,0,1,0
adamwiggins,64.875,38.84313725490196,0.35294117647058826,0.9411764705882353,0.01522615315718764,0.0,5.561352440662786,9999.0,59.0,6699.0,15.0,3962.0,121.0,0.0,159204.0,0.0,0,0,0,0,1,0
myobie,4.979166666666667,2.204301075268817,0.43010752688172044,0.08064516129032258,0.027765338110165697,0.46153846153846156,10.141289744738021,3.0,3.0,515.3076923076923,13.0,410.0,200.0,1.0,1030958.0,4.0,0,1,1,0,1,0
samgranieri,0.628099173553719,0.9871794871794872,0.7948717948717948,0.038461538461538464,0.011643528884908196,0.0,4.252798925212718,16.0,223.0,1674.75,2.0,77.0,200.0,1.0,1505001.0,1.0,0,1,0,0,1,1
adam,0.0,1.9166666666666667,0.4166666666666667,0.0,0.0017913121361397223,0.0,0.6542767577250336,9999.0,393.0,6699.0,106.0,23.0,0.0,0.0,249906.0,0.0,0,0,0,0,1,1
mtodd,1.8283018867924528,4.037037037037037,0.5246913580246914,0.24074074074074073,0.02418271383788625,0.0,8.832736229287953,9.0,255.0,1339.8,2.0,654.0,200.0,3.0,1044891.0,2.0,0,1,1,0,1,1
timcharper,8.27027027027027,9.451456310679612,0.6359223300970874,0.9320388349514563,0.030755449387876978,0.0,11.233427888922066,9999.0,8.0,6698.0,1.0,1947.0,200.0,1.0,3736283.0,0.0,0,1,0,0,1,0
paul,50.0,5.47191011235955,0.5955056179775281,0.2696629213483146,0.0265750970438937,0.0,9.706554195282173,24.0,54.0,3349.0,51.0,974.0,155.0,1.0,1757652.0,2.0,0,1,0,1,1,0
DocSavage,6.0,7.518518518518518,0.691358024691358,0.1111111111111111,0.012093162137951627,0.5964912280701754,4.417027470886832,0.0,1.0,117.50877192982456,8.0,609.0,200.0,1.0,1351594.0,4.0,0,1,1,0,1,0
shane,17.0,7.0,0.0,1.0,0.00014929829799940282,0.0,0.05453120334428187,9999.0,5344.0,6698.0,2567.0,7.0,5.0,0.0,96.0,0.0,0,0,0,0,0,1
vlucas,25.8,165.33333333333334,0.32407407407407407,1.9074074074074074,0.016124216183935502,0.6,5.889369961182442,3.0,3.0,334.9,40.0,17856.0,200.0,3.0,1391458.0,4.0,0,1,0,0,1,0
nex3,0.0,11.359756097560975,0.7195121951219512,0.4451219512195122,0.02448492087190206,0.37222222222222223,8.943117348462227,2.0,0.0,37.21111111111111,110.0,1863.0,0.0,0.0,5268017.0,8.0,0,0,0,0,1,0
max-xx,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,6698.0,2567.0,0.0,6.0,0.0,0.0,0.0,1,0,0,0,0,1
norbauer,38.0,14.181818181818182,0.0,0.0,0.0016422812779934308,0.0,0.5998432367871006,9999.0,4988.0,6698.0,2567.0,156.0,12.0,0.0,2569.0,0.0,0,0,0,0,0,1
crigor,54.0,0.9375,0.5625,0.1625,0.011943863839952225,0.0,4.36249626754255,9999.0,144.0,6698.0,23.0,75.0,61.0,0.0,797405.0,0.0,0,0,0,0,1,0
knowtheory,2.5760869565217392,1.0454545454545454,0.6060606060606061,0.3939393939393939,0.009855159026429744,0.0,3.5995968344034646,9999.0,33.0,6697.0,62.0,69.0,200.0,3.0,3144571.0,0.0,0,1,0,0,1,0
bernerdschaefer,141.0,6.146341463414634,0.43902439024390244,0.573170731707317,0.01224428848738241,0.0,4.4722263700164255,9999.0,665.0,6697.0,509.0,504.0,41.0,0.0,635550.0,0.0,0,0,0,0,1,1
zapnap,4.086206896551724,13.991666666666667,0.6083333333333333,0.4083333333333333,0.01791847095714499,0.9516129032258065,6.544721517097208,3.0,14.0,108.01612903225806,13.0,1679.0,200.0,2.0,864540.0,3.0,0,1,0,1,1,0
testdude,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,6697.0,2567.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
galinv,15.0,0.0,1.0,0.0,0.00029864118261908315,0.0,0.10907869195162014,9999.0,1270.0,6697.0,479.0,0.0,6.0,0.0,353864.0,0.0,0,0,0,0,1,1
NZKoz,403.0,11.725,0.825,0.3,0.005972823652381664,0.0,2.181573839032403,9999.0,1796.0,6697.0,23.0,469.0,54.0,1.0,509005.0,0.0,0,1,0,0,1,1
croaky,1.191891891891892,22.066666666666666,0.06666666666666667,0.9333333333333333,0.002239808869643124,1.0,0.818090189637151,2.0,2.0,3348.5,17.0,331.0,200.0,0.0,230563.0,1.0,0,0,0,0,1,0
jeremy,12.661417322834646,3.6027397260273974,0.8904109589041096,0.136986301369863,0.010900403165596536,0.2866666666666667,3.9813722562341347,3.0,91.0,22.323333333333334,18.0,263.0,27.0,6.0,994906.0,8.0,0,1,1,0,1,0
ELLIOTTCABLE,0.5883054892601431,3.811320754716981,0.5509433962264151,1.4226415094339622,0.03956995669702852,0.6666666666666666,14.452926683589668,0.0,0.0,186.02777777777777,153.0,1010.0,200.0,3.0,6188767.0,4.0,0,1,0,1,1,0
monde,3.4411764705882355,4.0,0.6363636363636364,0.7272727272727273,0.003285053008809915,0.0,1.1998656114678214,9999.0,74.0,6697.0,48.0,88.0,75.0,0.0,808906.0,0.0,0,0,0,1,1,0
ryanbriones,4.515151515151516,2.6527777777777777,0.20833333333333334,0.06944444444444445,0.010751082574286995,0.0,3.926832910258325,9999.0,555.0,6697.0,154.0,191.0,94.0,2.0,207600.0,0.0,0,1,0,0,1,1
wfarr,9.117647058823529,2.7814207650273226,0.6065573770491803,0.22404371584699453,0.02732566820964611,0.0,9.980700313573243,9999.0,88.0,6697.0,38.0,509.0,200.0,1.0,3600993.0,0.0,0,1,0,1,1,0
jseifer,11.80952380952381,4.466666666666667,0.7333333333333333,0.06666666666666667,0.002239808869643124,0.0,0.818090189637151,9999.0,4007.0,6697.0,2567.0,67.0,55.0,0.0,9836.0,0.0,0,0,0,0,1,1
symlink,1.65,0.0,0.3333333333333333,0.3333333333333333,0.0004479617739286248,0.0,0.1636180379274302,9999.0,61.0,6697.0,12.0,0.0,31.0,1.0,8165.0,0.0,0,1,0,0,1,0
sprsquish,3.793103448275862,2.125,0.625,0.25,0.0011945647304763326,0.16666666666666666,0.43631476780648054,3.0,74.0,1116.1666666666667,179.0,17.0,200.0,0.0,32652.0,4.0,0,0,0,0,1,0
